,DR007,政策利率
2014-01,4.7738 ,6.00 
2014-02,4.1570 ,6.00 
2014-03,3.2054 ,6.00 
2014-04,3.5044 ,6.00 
2014-05,3.2321 ,6.00 
2014-06,3.3078 ,6.00 
2014-07,3.8540 ,6.00 
2014-08,3.4933 ,6.00 
2014-09,3.2642 ,6.00 
2014-10,3.0699 ,6.00 
2014-11,3.2517 ,5.60 
2014-12,4.3277 ,5.60 
2015-01,4.0052 ,5.60 
2015-02,4.6498 ,5.60 
2015-03,4.4802 ,5.35 
2015-04,2.9089 ,5.35 
2015-05,2.1197 ,5.10 
2015-06,2.4530 ,4.85 
2015-07,2.5642 ,4.85 
2015-08,2.4698 ,4.60 
2015-09,2.4079 ,4.60 
2015-10,2.4227 ,4.35 
2015-11,2.3634 ,4.35 
2015-12,2.4524 ,4.35 
2016-01,2.4936 ,4.35 
2016-02,2.4196 ,4.35 
2016-03,2.4612 ,4.35 
2016-04,2.4944 ,4.35 
2016-05,2.4325 ,4.35 
2016-06,2.4581 ,4.35 
2016-07,2.4720 ,4.35 
2016-08,2.4826 ,4.35 
2016-09,2.5132 ,4.35 
2016-10,2.6741 ,4.35 
2016-11,2.7037 ,4.35 
2016-12,3.0115 ,4.35 
2017-01,2.6760 ,4.35 
2017-02,3.0555 ,4.35 
2017-03,3.4685 ,4.35 
2017-04,3.3117 ,4.35 
2017-05,3.2629 ,4.35 
2017-06,3.4569 ,4.35 
2017-07,3.3185 ,4.35 
2017-08,3.5497 ,4.35 
2017-09,3.4660 ,4.35 
2017-10,3.3621 ,4.35 
2017-11,3.4734 ,4.35 
2017-12,3.6941 ,4.35 
2018-01,3.2348 ,4.35 
2018-02,3.0728 ,4.35 
2018-03,3.2893 ,4.35 
2018-04,3.6575 ,4.35 
2018-05,3.1853 ,4.35 
2018-06,3.3402 ,4.35 
2018-07,2.7340 ,4.35 
2018-08,2.5571 ,4.35 
2018-09,2.7405 ,4.35 
2018-10,2.6531 ,4.35 
2018-11,2.6880 ,4.35 
2018-12,3.1381 ,4.35 
2019-01,2.5829 ,4.35 
2019-02,2.5865 ,4.35 
2019-03,2.7865 ,4.35 
2019-04,2.7478 ,4.35 
2019-05,2.6460 ,4.35 
2019-06,2.4974 ,4.35 
2019-07,2.6190 ,4.35 
2019-08,2.7799 ,4.25 
2019-09,2.7205 ,4.20 
2019-10,2.7969 ,4.20 
2019-11,2.6883 ,4.15 
2019-12,2.5893 ,4.15 
2020-01,2.6663 ,4.15 
2020-02,2.3584 ,4.05 
2020-03,2.0371 ,4.05 
2020-04,1.5699 ,3.85 
2020-05,1.6166 ,3.85 
2020-06,2.0875 ,3.85 
2020-07,2.2306 ,3.85 
2020-08,2.3686 ,3.85 
2020-09,2.3930 ,3.85 
2020-10,2.5689 ,3.85 
2020-11,2.6205 ,3.85 
2020-12,2.3446 ,3.85 
2021-01,2.6244 ,3.85 
2021-02,2.4337 ,3.85 
2021-03,2.2039 ,3.85 
2021-04,2.1388 ,3.85 
2021-05,2.1794 ,3.85 
2021-06,2.4313 ,3.85 
2021-07,2.2502 ,3.85 
2021-08,2.2286 ,3.85 
2021-09,2.3721 ,3.85 
2021-10,2.2602 ,3.85 
2021-11,2.2909 ,3.85 
2021-12,2.5563 ,3.80 
2022-01,2.2961 ,3.70 
2022-02,2.2215 ,3.70 
2022-03,2.3446 ,3.70 
2022-04,1.9458 ,3.70 
2022-05,1.7374 ,3.70 
2022-06,1.8671 ,3.70 
2022-07,1.6624 ,3.70 
2022-08,1.5562 ,3.65 
2022-09,1.7149 ,3.65 
2022-10,1.8044 ,3.65 
2022-11,1.9317 ,3.65 
2022-12,2.3342 ,3.65 
2023-01,2.1216 ,3.65 
2023-02,2.3750 ,3.65 
2023-03,2.5023 ,3.65 
2023-04,2.2953 ,3.65 
2023-05,1.9949 ,3.65 
2023-06,2.1880 ,3.55 
2023-07,1.9791 ,3.55 
2023-08,1.9578 ,3.45 
2023-09,2.1151 ,3.45 
2023-10,2.3339 ,3.45 
2023-11,2.3558 ,3.45 
2023-12,2.5009 ,3.45 
2024-01,2.2291 ,3.45 
2024-02,2.0283 ,3.45 
2024-03,2.1131 ,3.45 
2024-04,1.9614 ,3.45 
2024-05,1.8751 ,3.45 
2024-06,1.9914 ,3.45 
2024-07,1.8942 ,3.35 
2024-08,1.8820 ,3.35 
2024-09,1.9273 ,3.35 
2024-10,1.8982 ,3.10 
2024-11,1.8181 ,3.10 
2024-12,1.9053 ,3.10 
2025-01,2.2950 ,3.10 
2025-02,2.0832 ,3.10 
2025-03,1.9573 ,3.10 
2025-04,1.7704 ,3.10 
2025-05,1.6333 ,3.00 
2025-06,1.6532 ,3.00 
2025-07,1.5496 ,3.00 
2025-08,1.5022 ,3.00 
